name,company,rating
1917,DreamWorks,8.3
Dark Waters,DreamWorks,7.6
A Dog's Journey,DreamWorks,7.4
Captive State,DreamWorks,6
Welcome to Marwen,DreamWorks,6.2
On the Basis of Sex,DreamWorks,7
The House with a Clock in Its Walls,DreamWorks,6
Green Book,DreamWorks,8.2
First Man,DreamWorks,7.3
Entebbe,DreamWorks,5.8
The Post,DreamWorks,7.2
Thank You for Your Service,DreamWorks,6.5
Thomas and The 2 Brothers,DreamWorks,NA
Ghost in the Shell,DreamWorks,6.3
A Dog's Purpose,DreamWorks,7.2
Office Christmas Party,DreamWorks,5.8
The Girl on the Train,DreamWorks,6.5
The Light Between Oceans,DreamWorks,7.2
The BFG,DreamWorks,6.4
Bridge of Spies,DreamWorks,7.6
The Hundred-Foot Journey,DreamWorks,7.3
Need for Speed,DreamWorks,6.4
Anchorman,DreamWorks,6.3
Delivery Man ,DreamWorks,6.4
The Fifth Estate,DreamWorks,6.2
Lincoln,DreamWorks,7.3
People Like Us,DreamWorks,7.1
A Thousand Words,DreamWorks,5.9
War Horse,DreamWorks,7.2
The Adventures od Tintin,DreamWorks,7.3
Real Steel,DreamWorks,7.1
Fright Night,DreamWorks,6.3
The Help,DreamWorks,8.1
Cowboys & Aliens,DreamWorks,6
